With corrected xpath, these are the 83 pages impacted:
                                     name                                      |  authors   |                  legacy                  |                               page                               
--------------------------------------------------------------------------------+------------+------------------------------------------+------------------------------------------------------------------
 The Legislative Process                                                        | {cnxamgov} | https://legacy-qa.cnx.org/content/m59035 | https://qa.cnx.org/contents/c6ee95dd-d10b-430c-8a83-20d5a28334a9
 How Is Public Opinion Measured?                                                | {cnxamgov} | https://legacy-qa.cnx.org/content/m58988 | https://qa.cnx.org/contents/5fd3ce15-f0ea-47ea-ae8e-84d8f9e2930a
 Understanding Bureaucracies and their Types                                    | {cnxamgov} | https://legacy-qa.cnx.org/content/m59079 | https://qa.cnx.org/contents/2979f445-bec9-4ae3-94f9-f9c772ce9e9f
 Introduction                                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m58991 | https://qa.cnx.org/contents/81163025-bf42-4059-8160-cacca24446dc
 Defining Foreign Policy                                                        | {cnxamgov} | https://legacy-qa.cnx.org/content/m59088 | https://qa.cnx.org/contents/497848cb-d4ad-4b0b-8295-c3dd1c9f7437
 Institutional Relations in Foreign Policy                                      | {cnxamgov} | https://legacy-qa.cnx.org/content/m59090 | https://qa.cnx.org/contents/515d833c-0ba2-41ab-96b9-9fbeed85817c
 What Does the Public Think?                                                    | {cnxamgov} | https://legacy-qa.cnx.org/content/m58989 | https://qa.cnx.org/contents/2e6466e7-f162-4327-82fa-58935ff6991a
 Voter Registration                                                             | {cnxamgov} | https://legacy-qa.cnx.org/content/m58992 | https://qa.cnx.org/contents/3edaca44-5ab0-4a42-a6b8-4247f6faa221
 The Supreme Court                                                              | {cnxamgov} | https://legacy-qa.cnx.org/content/m59064 | https://qa.cnx.org/contents/9f08b241-bb66-48ed-bfde-aa09adf11145
 Interest Groups as Political Participation                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m59020 | https://qa.cnx.org/contents/621c1d37-0bc1-4190-a1b2-a9331f890b1a
 Introduction                                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m59059 | https://qa.cnx.org/contents/08dfa8e7-2bd3-44ed-a527-1dfd46b67215
 The Development of the Constitution                                            | {cnxamgov} | https://legacy-qa.cnx.org/content/m58963 | https://qa.cnx.org/contents/3dfca04b-06c7-4279-9602-6360152f1f37
 Approaches to Foreign Policy                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m59091 | https://qa.cnx.org/contents/b36f239d-9025-47bf-957e-bbb675d4cd92
 The Articles of Confederation                                                  | {cnxamgov} | https://legacy-qa.cnx.org/content/m58962 | https://qa.cnx.org/contents/18083da1-5f89-4378-ba19-aa95e6996459
 The Dual Court System                                                          | {cnxamgov} | https://legacy-qa.cnx.org/content/m59061 | https://qa.cnx.org/contents/f6315546-7b9f-4f19-9114-e9e3c4a7f8d9
 Pathways of Interest Group Influence                                           | {cnxamgov} | https://legacy-qa.cnx.org/content/m59041 | https://qa.cnx.org/contents/9a5be432-ccff-4c68-bd2f-54ee60f1afb2
 The Impact of the Media                                                        | {cnxamgov} | https://legacy-qa.cnx.org/content/m59003 | https://qa.cnx.org/contents/55697c4a-b143-4bc6-8831-f75a3c1c06cb
 Voter Turnout                                                                  | {cnxamgov} | https://legacy-qa.cnx.org/content/m58993 | https://qa.cnx.org/contents/6e795d7a-5b58-4249-a926-918b62e36454
 The Nature of Public Opinion                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m58987 | https://qa.cnx.org/contents/81fbf31f-7c89-4a96-9789-48e2b564ad22
 Interest Groups Defined                                                        | {cnxamgov} | https://legacy-qa.cnx.org/content/m59018 | https://qa.cnx.org/contents/b7e4fad8-6af8-4a63-a83c-0985ba6ff07b
 State Legislative Term Limits                                                  | {cnxamgov} | https://legacy-qa.cnx.org/content/m59074 | https://qa.cnx.org/contents/6df3591b-d82c-4603-9586-cb7f4fb0af1a
 The Institutional Design of Congress                                           | {cnxamgov} | https://legacy-qa.cnx.org/content/m59028 | https://qa.cnx.org/contents/8a78fac5-9323-4dca-8c28-cd103cce83c8
 The Evolution of the Media                                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m58999 | https://qa.cnx.org/contents/8c5fc05a-8a77-4fe5-aabc-fa17072249d5
 What is Government?                                                            | {cnxamgov} | https://legacy-qa.cnx.org/content/m58956 | https://qa.cnx.org/contents/49abac0f-b70e-4be9-9cf2-495966413644
 The Pre-Revolutionary Period and the Roots of the American Political Tradition | {cnxamgov} | https://legacy-qa.cnx.org/content/m58961 | https://qa.cnx.org/contents/d7f8e6e8-48fb-48d2-9998-e946750e7996
 Congressional Representation                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m59044 | https://qa.cnx.org/contents/1db17831-5aba-4aba-aa4a-0146e2e02998
 Campaigns and Voting                                                           | {cnxamgov} | https://legacy-qa.cnx.org/content/m58995 | https://qa.cnx.org/contents/bda29a31-1f25-4371-8376-785c6a0ddf9a
 Bureaucracy and the Evolution of Public Administration                         | {cnxamgov} | https://legacy-qa.cnx.org/content/m59077 | https://qa.cnx.org/contents/eb93a6f4-edc3-4a02-a26c-59faeae71c4b
 Categorizing Public Policy                                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m59083 | https://qa.cnx.org/contents/49dc3f4c-22ba-448a-a334-654b7425d867
 The Division of Powers                                                         | {cnxamgov} | https://legacy-qa.cnx.org/content/m58967 | https://qa.cnx.org/contents/6ccea6dd-6e15-437e-a026-4e4ef01c75ad
 Introduction                                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m58986 | https://qa.cnx.org/contents/7cc1a318-0d76-40e5-ae5a-0a7f52ddf7e2
 House and Senate Organizations                                                 | {cnxamgov} | https://legacy-qa.cnx.org/content/m59034 | https://qa.cnx.org/contents/efc2d9ee-e3a6-4ab6-a381-b86ce9075d2d
 The African American Struggle for Equality                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m58983 | https://qa.cnx.org/contents/7d34ddc8-ed22-4aa0-9e74-b5f5d2a2974b
 Direct Democracy                                                               | {cnxamgov} | https://legacy-qa.cnx.org/content/m58996 | https://qa.cnx.org/contents/7f85b54d-4062-4945-bfa9-2ebca3dd2a61
 The Rights of Suspects                                                         | {cnxamgov} | https://legacy-qa.cnx.org/content/m58979 | https://qa.cnx.org/contents/ed22cb13-2f14-460f-a603-fb1631f4c6f6
